Date,NDVI,Sensor,Region
20-Feb-20,-0.006,sl2,roi
11-Mar-20,0.486,sl2,roi
11-Mar-20,-0.014,sl2,roi
16-Mar-20,-0.024,sl2,roi
16-Mar-20,-0.034,sl2,roi
16-Mar-20,0.591,sl2,roi
16-Mar-20,-0.039,sl2,roi
19-Mar-20,-0.031,sl2,roi
19-Mar-20,-0.036,sl2,roi
19-Mar-20,0.637,sl2,roi
19-Mar-20,-0.055,sl2,roi
5-Apr-20,0.595,sl2,roi
5-Apr-20,-0.015,sl2,roi
8-Apr-20,-0.056,sl2,roi
8-Apr-20,0.627,sl2,roi
8-Apr-20,0.085,sl2,roi
10-Apr-20,-0.034,sl2,roi
10-Apr-20,-0.065,sl2,roi
10-Apr-20,0.582,sl2,roi
10-Apr-20,0.078,sl2,roi
15-Apr-20,0.3,sl2,roi
18-Apr-20,0.368,sl2,roi
23-Apr-20,-0.065,sl2,roi
23-Apr-20,-0.075,sl2,roi
23-Apr-20,0.625,sl2,roi
23-Apr-20,0.434,sl2,roi
30-Apr-20,-0.012,sl2,roi
30-Apr-20,-0.024,sl2,roi
3-May-20,0.607,sl2,roi
3-May-20,0.479,sl2,roi
18-May-20,-0.054,sl2,roi
12-Jun-20,-0.046,sl2,roi
12-Jun-20,0.013,sl2,roi
12-Jun-20,0.68,sl2,roi
22-Jun-20,0.383,sl2,roi
24-Jun-20,0.172,sl2,roi
4-Jul-20,0.631,sl2,roi
7-Jul-20,0.466,sl2,roi
7-Jul-20,0.73,sl2,roi
7-Jul-20,0.687,sl2,roi
9-Jul-20,0.119,sl2,roi
9-Jul-20,0.082,sl2,roi
9-Jul-20,0.657,sl2,roi
9-Jul-20,0.672,sl2,roi
12-Jul-20,0.121,sl2,roi
14-Jul-20,0.663,sl2,roi
27-Jul-20,0.337,sl2,roi
27-Jul-20,0.563,sl2,roi
27-Jul-20,0.697,sl2,roi
29-Jul-20,0.665,sl2,roi
29-Jul-20,0.715,sl2,roi
1-Aug-20,0.128,sl2,roi
1-Aug-20,0.605,sl2,roi
1-Aug-20,0.678,sl2,roi
1-Aug-20,0.728,sl2,roi
6-Aug-20,0.16,sl2,roi
6-Aug-20,0.344,sl2,roi
8-Aug-20,0.33,sl2,roi
8-Aug-20,0.612,sl2,roi
8-Aug-20,0.685,sl2,roi
8-Aug-20,0.725,sl2,roi
11-Aug-20,0.399,sl2,roi
11-Aug-20,0.054,sl2,roi
16-Aug-20,0.138,sl2,roi
16-Aug-20,0.563,sl2,roi
21-Aug-20,0.33,sl2,roi
21-Aug-20,0.609,sl2,roi
21-Aug-20,0.725,sl2,roi
21-Aug-20,0.735,sl2,roi
26-Aug-20,0.391,sl2,roi
26-Aug-20,0.591,sl2,roi
5-Sep-20,0.355,sl2,roi
5-Sep-20,0.57,sl2,roi
5-Sep-20,0.737,sl2,roi
5-Sep-20,0.727,sl2,roi
12-Sep-20,0.29,sl2,roi
12-Sep-20,0.533,sl2,roi
12-Sep-20,0.326,sl2,roi
12-Sep-20,0.562,sl2,roi
15-Sep-20,0.336,sl2,roi
15-Sep-20,0.543,sl2,roi
15-Sep-20,0.745,sl2,roi
15-Sep-20,0.713,sl2,roi
20-Sep-20,0.68,sl2,roi
30-Sep-20,0.715,sl2,roi
30-Sep-20,0.705,sl2,roi
10-Oct-20,0.67,sl2,roi
10-Oct-20,0.64,sl2,roi
12-Oct-20,0.511,sl2,roi
12-Oct-20,-0.012,sl2,roi
25-Oct-20,-0.108,sl2,roi
25-Oct-20,0.015,sl2,roi
30-Oct-20,0.042,sl2,roi
30-Oct-20,-0.011,sl2,roi
9-Nov-20,-0.106,sl2,roi
9-Nov-20,0.123,sl2,roi
9-Nov-20,0.646,sl2,roi
11-Nov-20,-0.135,sl2,roi
11-Nov-20,0.15,sl2,roi
11-Nov-20,0.597,sl2,roi
11-Nov-20,0.622,sl2,roi
14-Nov-20,-0.106,sl2,roi
14-Nov-20,0.18,sl2,roi
14-Nov-20,0.64,sl2,roi
19-Nov-20,-0.092,sl2,roi
19-Nov-20,0.665,sl2,roi
19-Nov-20,0.634,sl2,roi
21-Nov-20,-0.083,sl2,roi
21-Nov-20,0.665,sl2,roi
24-Nov-20,-0.08,sl2,roi
24-Nov-20,0.708,sl2,roi
24-Nov-20,0.619,sl2,roi
26-Nov-20,-0.097,sl2,roi
26-Nov-20,0.001,sl2,roi
26-Nov-20,0.655,sl2,roi
26-Nov-20,0.63,sl2,roi
29-Nov-20,0.627,sl2,roi
19-Dec-20,-0.16,sl2,roi
19-Dec-20,-0.05,sl2,roi
8-Jan-21,0.306,sl2,roi
15-Jan-21,-0.101,sl2,roi
30-Jan-21,-0.058,sl2,roi
30-Jan-21,-0.017,sl2,roi
4-Feb-21,-0.104,sl2,roi
4-Feb-21,-0.02,sl2,roi
17-Feb-21,0.294,sl2,roi
17-Feb-21,-0.047,sl2,roi
22-Feb-21,-0.115,sl2,roi
22-Feb-21,-0.073,sl2,roi
24-Feb-21,-0.045,sl2,roi
24-Feb-21,-0.034,sl2,roi
24-Feb-21,0.351,sl2,roi
24-Feb-21,-0.073,sl2,roi
1-Mar-21,-0.015,sl2,roi
1-Mar-21,-0.026,sl2,roi
1-Mar-21,0.451,sl2,roi
1-Mar-21,-0.06,sl2,roi
24-Mar-21,-0.011,sl2,roi
24-Mar-21,-0.009,sl2,roi
24-Mar-21,0.447,sl2,roi
24-Mar-21,-0.048,sl2,roi
26-Mar-21,-0.013,sl2,roi
26-Mar-21,-0.019,sl2,roi
26-Mar-21,0.44,sl2,roi
26-Mar-21,-0.07,sl2,roi
31-Mar-21,-0.048,sl2,roi
31-Mar-21,-0.067,sl2,roi
31-Mar-21,0.438,sl2,roi
31-Mar-21,-0.101,sl2,roi
5-Apr-21,-0.011,sl2,roi
5-Apr-21,0.426,sl2,roi
5-Apr-21,-0.066,sl2,roi
8-Apr-21,-0.008,sl2,roi
10-Apr-21,-0.028,sl2,roi
23-Apr-21,-0.03,sl2,roi
23-Apr-21,-0.015,sl2,roi
23-Apr-21,-0.068,sl2,roi
28-Apr-21,-0.064,sl2,roi
8-May-21,-0.014,sl2,roi
8-May-21,-0.013,sl2,roi
8-May-21,0.585,sl2,roi
8-May-21,0.089,sl2,roi
10-May-21,-0.073,sl2,roi
10-May-21,-0.095,sl2,roi
10-May-21,0.576,sl2,roi
10-May-21,0.232,sl2,roi
28-May-21,0.454,sl2,roi
28-May-21,0.449,sl2,roi
14-Jun-21,-0.061,sl2,roi
14-Jun-21,-0.087,sl2,roi
14-Jun-21,0.65,sl2,roi
14-Jun-21,0.544,sl2,roi
17-Jun-21,0.64,sl2,roi
17-Jun-21,0.576,sl2,roi
22-Jun-21,-0.001,sl2,roi
24-Jun-21,-0.063,sl2,roi
24-Jun-21,0.109,sl2,roi
7-Jul-21,0.683,sl2,roi
12-Jul-21,0.216,sl2,roi
12-Jul-21,0.411,sl2,roi
12-Jul-21,0.711,sl2,roi
19-Jul-21,0.671,sl2,roi
19-Jul-21,0.723,sl2,roi
22-Jul-21,0.218,sl2,roi
22-Jul-21,0.503,sl2,roi
24-Jul-21,0.29,sl2,roi
29-Jul-21,0.319,sl2,roi
29-Jul-21,0.578,sl2,roi
29-Jul-21,0.693,sl2,roi
29-Jul-21,0.736,sl2,roi
13-Aug-21,0.671,sl2,roi
21-Aug-21,0.617,sl2,roi
2-Sep-21,0.401,sl2,roi
2-Sep-21,0.564,sl2,roi
2-Sep-21,0.714,sl2,roi
2-Sep-21,0.717,sl2,roi
5-Sep-21,0.345,sl2,roi
5-Sep-21,0.535,sl2,roi
5-Sep-21,0.7,sl2,roi
5-Sep-21,0.656,sl2,roi
10-Sep-21,0.346,sl2,roi
10-Sep-21,0.52,sl2,roi
10-Sep-21,0.748,sl2,roi
10-Sep-21,0.713,sl2,roi
12-Sep-21,0.678,sl2,roi
12-Sep-21,0.391,sl2,roi
20-Sep-21,0.497,sl2,roi
25-Sep-21,0.292,sl2,roi
25-Sep-21,0.506,sl2,roi
10-Oct-21,-0.05,sl2,roi
10-Oct-21,0.078,sl2,roi
15-Oct-21,-0.082,sl2,roi
15-Oct-21,-0.02,sl2,roi
15-Oct-21,0.668,sl2,roi
15-Oct-21,0.663,sl2,roi
17-Oct-21,-0.098,sl2,roi
17-Oct-21,-0.038,sl2,roi
17-Oct-21,0.724,sl2,roi
17-Oct-21,0.652,sl2,roi
20-Oct-21,-0.082,sl2,roi
22-Oct-21,0.145,sl2,roi
27-Oct-21,-0.07,sl2,roi
27-Oct-21,0.206,sl2,roi
27-Oct-21,0.691,sl2,roi
27-Oct-21,0.639,sl2,roi
30-Oct-21,-0.061,sl2,roi
30-Oct-21,0.285,sl2,roi
30-Oct-21,0.68,sl2,roi
30-Oct-21,0.645,sl2,roi
11-Nov-21,-0.001,sl2,roi
21-Nov-21,-0.126,sl2,roi
21-Nov-21,0.044,sl2,roi
24-Nov-21,-0.092,sl2,roi
24-Nov-21,0.023,sl2,roi
24-Nov-21,0.617,sl2,roi
24-Nov-21,0.618,sl2,roi
6-Dec-21,0.109,sl2,roi
6-Dec-21,-0.006,sl2,roi
11-Dec-21,-0.009,sl2,roi
16-Dec-21,0.486,sl2,roi
16-Dec-21,-0.046,sl2,roi
19-Dec-21,-0.139,sl2,roi
19-Dec-21,-0.038,sl2,roi
19-Dec-21,0.457,sl2,roi
19-Dec-21,-0.058,sl2,roi
21-Dec-21,-0.14,sl2,roi
21-Dec-21,-0.011,sl2,roi
29-Dec-21,0.448,sl2,roi
31-Dec-21,-0.177,sl2,roi
31-Dec-21,-0.07,sl2,roi
31-Dec-21,0.535,sl2,roi
31-Dec-21,-0.055,sl2,roi
8-Jan-22,0.4,sl2,roi
8-Jan-22,-0.021,sl2,roi
13-Jan-22,-0.12,sl2,roi
13-Jan-22,-0.03,sl2,roi
13-Jan-22,0.506,sl2,roi
13-Jan-22,-0.025,sl2,roi
15-Jan-22,-0.152,sl2,roi
15-Jan-22,-0.033,sl2,roi
15-Jan-22,0.575,sl2,roi
15-Jan-22,-0.031,sl2,roi
18-Jan-22,0.631,sl2,roi
18-Jan-22,0.007,sl2,roi
20-Jan-22,0.043,sl2,roi
23-Jan-22,0.026,sl2,roi
25-Jan-22,-0.091,sl2,roi
25-Jan-22,-0.02,sl2,roi
30-Jan-22,0.319,sl2,roi
30-Jan-22,0.078,sl2,roi
4-Feb-22,-0.021,sl2,roi
4-Feb-22,0.242,sl2,roi
9-Feb-22,-0.078,sl2,roi
9-Feb-22,-0.018,sl2,roi
9-Feb-22,0.25,sl2,roi
9-Feb-22,-0.004,sl2,roi
12-Feb-22,-0.065,sl2,roi
12-Feb-22,-0.007,sl2,roi
12-Feb-22,0.219,sl2,roi
12-Feb-22,-0.003,sl2,roi
14-Feb-22,-0.098,sl2,roi
14-Feb-22,-0.021,sl2,roi
22-Feb-22,0.029,sl2,roi
27-Feb-22,0.132,sl2,roi
1-Mar-22,-0.013,sl2,roi
1-Mar-22,-0.008,sl2,roi
1-Mar-22,0.266,sl2,roi
1-Mar-22,0.172,sl2,roi
4-Mar-22,-0.008,sl2,roi
4-Mar-22,-0.018,sl2,roi
4-Mar-22,0.262,sl2,roi
4-Mar-22,0.166,sl2,roi
6-Mar-22,-0.011,sl2,roi
9-Mar-22,-0.027,sl2,roi
9-Mar-22,-0.023,sl2,roi
9-Mar-22,0.262,sl2,roi
9-Mar-22,0.247,sl2,roi
11-Mar-22,-0.02,sl2,roi
11-Mar-22,-0.019,sl2,roi
14-Mar-22,-0.034,sl2,roi
14-Mar-22,0.089,sl2,roi
19-Mar-22,-0.025,sl2,roi
19-Mar-22,-0.025,sl2,roi
19-Mar-22,0.072,sl2,roi
19-Mar-22,0.221,sl2,roi
21-Mar-22,-0.016,sl2,roi
21-Mar-22,-0.016,sl2,roi
21-Mar-22,0.279,sl2,roi
21-Mar-22,0.288,sl2,roi
24-Mar-22,-0.029,sl2,roi
24-Mar-22,-0.044,sl2,roi
24-Mar-22,0.273,sl2,roi
24-Mar-22,0.294,sl2,roi
26-Mar-22,-0.038,sl2,roi
26-Mar-22,-0.043,sl2,roi
26-Mar-22,0.295,sl2,roi
26-Mar-22,0.313,sl2,roi
